Mean_Y_Luminance,Mean_G_RGB,GRGB_Value
1.018859649122806985e+02,9.200539811066127527e+01,1.860846430573663834e+00
1.017516869095816503e+02,9.219298245614035636e+01,1.895619635296587502e+00
1.022577597840755743e+02,9.289068825910931082e+01,1.847940967793761491e+00
1.021592442645074215e+02,9.293184885290148145e+01,1.872858646768901236e+00
1.020728744939271309e+02,9.322807017543860297e+01,1.889143828855988083e+00
1.016754385964912331e+02,9.263900134952766052e+01,1.909021050100291550e+00
1.021280051981806309e+02,9.293957115009746417e+01,1.907198172290268445e+00
1.022566601689408685e+02,9.355360623781676566e+01,1.922385659153024395e+00
1.024879792072774478e+02,9.342949967511370346e+01,1.875393641118094923e+00
1.023489278752436604e+02,9.310461338531513320e+01,1.871909422040345383e+00
1.020604288499025358e+02,9.269460688758934452e+01,1.902135927250349301e+00
1.025035737491877796e+02,9.304158544509421347e+01,1.859796236486617849e+00
1.017498375568550983e+02,9.248602988953865633e+01,1.898247999393222640e+00
1.017706302794022122e+02,9.250227420402859480e+01,1.892574041272870877e+00
1.018680961663417861e+02,9.230409356725145642e+01,1.884889472831641433e+00
1.022215724496426219e+02,9.350487329434697870e+01,1.881960798546192803e+00
1.019018843404808337e+02,9.295711500974658748e+01,1.915217219988878616e+00
1.021306042884990291e+02,9.355685510071475619e+01,1.921922993807077873e+00
1.022501624431449017e+02,9.354775828460039122e+01,1.915144524628076050e+00
1.021007147498375502e+02,9.335802469135802539e+01,1.917579992102602660e+00
1.018700454840805776e+02,9.356335282651072305e+01,1.939822814083272728e+00
1.024665367121507416e+02,9.338401559454190703e+01,1.879052584715783070e+00
1.022189733593242380e+02,9.317868745938920938e+01,1.879793510097066855e+00
1.021988304093567308e+02,9.297011046133853540e+01,1.910960476945793740e+00
1.018401559454190988e+02,9.296816114359974392e+01,1.910401189249792075e+00
1.024964262508122204e+02,9.313645224171540349e+01,1.869125880601549827e+00
1.019798570500324928e+02,9.282196231319038304e+01,1.905750432051763088e+00
1.021371020142949959e+02,9.284600389863547321e+01,1.905550092139644214e+00
1.025581546458739410e+02,9.335087719298245190e+01,1.877647475210162398e+00
1.025185185185185190e+02,9.319623131903833269e+01,1.902149794687612250e+00
1.023079922027290394e+02,9.311111111111111427e+01,1.914310077965058809e+00
1.025815464587394388e+02,9.347693307342430558e+01,1.915019783033387268e+00
1.027680311890838141e+02,9.344639376218323434e+01,1.916109052382048983e+00
1.026751137102014297e+02,9.303313840155945513e+01,1.878017794824937914e+00
1.025997400909681545e+02,9.303313840155945513e+01,1.889164832630171320e+00
1.027147498375568517e+02,9.333333333333332860e+01,1.912762527304488147e+00
1.024775828460038980e+02,9.315659519168291069e+01,1.893379503839430988e+00
1.027407407407407476e+02,9.287979207277453497e+01,1.880034702833620841e+00
1.027231968810916243e+02,9.301949317738791478e+01,1.880147340554579438e+00
1.024080571799870114e+02,9.328070175438595868e+01,1.904456712739216018e+00
1.025607537361923391e+02,9.323456790123456983e+01,1.920659927128567812e+00
1.026231319038336522e+02,9.343924626380766085e+01,1.919013417180867709e+00
1.028641975308642031e+02,9.374074074074074758e+01,1.905453259138257804e+00
1.027790773229369705e+02,9.408122157244964967e+01,1.921903689674990590e+00
1.032586094866796600e+02,9.391812865497075791e+01,1.874842519680412156e+00
