Mean_Y_Luminance,Mean_G_RGB,GRGB_Value
9.758997252747252560e+01,8.769093406593407281e+01,1.838573775818858502e+00
9.730700549450548920e+01,8.734890109890109500e+01,1.825661967869199209e+00
9.739010989010988339e+01,8.744368131868131400e+01,1.832441061090378520e+00
9.733653846153846700e+01,8.742376373626373720e+01,1.822365076320966004e+00
9.718269230769230660e+01,8.708516483516483220e+01,1.831670011949007026e+00
9.716620879120878840e+01,8.699519230769230660e+01,1.835269486188829013e+00
9.680151098901099260e+01,8.676717032967033560e+01,1.829630783534119232e+00
9.685142857142857054e+01,8.689214285714285779e+01,1.832969742014305403e+00
9.695785714285713652e+01,8.676571428571428157e+01,1.817457608828094706e+00
9.646428571428570820e+01,8.690000000000000568e+01,1.861493099810117346e+00
9.611499999999999488e+01,8.664857142857142946e+01,1.898087696357078080e+00
9.629785714285713993e+01,8.628785714285714903e+01,1.833839631502553136e+00
9.656857142857143117e+01,8.662000000000000455e+01,1.829556547094450369e+00
9.632642857142856485e+01,8.648071428571428498e+01,1.845561799525320623e+00
9.616500000000000625e+01,8.635785714285714221e+01,1.886195927636336922e+00
9.657285714285714562e+01,8.651857142857143401e+01,1.838041521671696099e+00
9.614214285714285779e+01,8.639714285714285325e+01,1.888529075846738126e+00
9.668357142857142605e+01,8.637357142857142378e+01,1.814019388184860748e+00
9.652857142857142492e+01,8.674142857142857110e+01,1.854548528950398012e+00
9.661357142857143288e+01,8.671142857142856997e+01,1.847579399176172199e+00
9.682428571428570763e+01,8.658428571428571274e+01,1.826734473858522723e+00
9.675000000000000000e+01,8.676785714285713880e+01,1.854139767680275996e+00
9.701642857142857679e+01,8.730357142857143060e+01,1.847288473065098025e+00
9.727357142857142946e+01,8.734499999999999886e+01,1.835290943684460663e+00
9.693071428571428783e+01,8.683499999999999375e+01,1.848316767641570602e+00
9.720499999999999829e+01,8.703142857142857736e+01,1.833035449983047904e+00
9.706357142857142151e+01,8.702428571428571047e+01,1.820076737873730810e+00
9.738571428571428612e+01,8.848999999999999488e+01,1.874819782666836021e+00
9.676928571428571502e+01,8.742642857142857338e+01,1.891902829659545482e+00
9.669285714285713595e+01,8.810071428571428953e+01,1.932881412154694889e+00
9.691785714285714448e+01,8.808714285714285097e+01,1.899129676152216062e+00
9.685928571428571843e+01,8.790071428571428669e+01,1.842011111984432681e+00
9.645054945054944540e+01,8.751579670329670080e+01,1.893400404408100535e+00
9.666140109890109500e+01,8.796840659340659840e+01,1.907128899291544277e+00
9.701510989010988339e+01,8.816689560439560580e+01,1.861635724221170740e+00
9.687584345479082515e+01,8.827800269905533526e+01,1.880254872524541376e+00
9.730296896086369429e+01,8.820917678812415375e+01,1.868919722657546245e+00
9.786234817813765119e+01,8.884615384615383959e+01,1.861597862616299892e+00
9.841902834008097045e+01,8.951821862348178627e+01,1.871191719352052196e+00
9.856882591093116730e+01,8.984885290148447723e+01,1.871937182272977118e+00
9.797855750487329374e+01,8.924106562703053669e+01,1.913777276431928742e+00
9.866016894087069034e+01,8.974204028589993243e+01,1.907033773538983734e+00
9.981286549707601807e+01,9.089278752436646869e+01,1.857991023007721454e+00
1.002918263090676874e+02,9.158556832694763727e+01,1.882692185642130145e+00
1.007311621966794348e+02,9.179438058748404217e+01,1.861714604766783410e+00
1.008646232439335932e+02,9.260600255427841887e+01,1.929689358623636553e+00
1.014201787994891504e+02,9.281673052362707210e+01,1.883014179980556868e+00
1.018422733077905491e+02,9.316858237547893395e+01,1.892561875328760301e+00
1.023665389527458558e+02,9.375989782886334467e+01,1.881725924245506887e+00
1.027962962962962905e+02,9.389272030651341083e+01,1.878172196422432716e+00
1.027681992337164729e+02,9.416794380587484170e+01,1.935075124711493899e+00
